Date,date_match,i,USD,EUR,u,m3,core_i_yoy,pmi
2015_11,2015-11,1.350000023841858,290.8625183105469,312.2699890136719,6.199999809265137,117.86246490478516,1.3794833421707153,48.599998474121094
2015_12,2015-12,1.350000023841858,289.05029296875,314.3999938964844,6.199999809265137,109.94021606445312,1.4325207471847534,48.20000076293945
2016_1,2016-01,1.350000023841858,289.7605895996094,314.67999267578125,6.199999809265137,98.315216064453125,1.504136323928833,48.20000076293945
2016_2,2016-02,1.350000023841858,279.7890625,310.3699951171875,6.099999904632568,96.12681579589844,1.3510133028030396,49.5
2016_3,2016-03,1.2000000476837158,280.3153076171875,311.1499938964844,6,98.7691421508789,1.2240819931030273,51.79999923706055
2016_4,2016-04,1.0499999523162842,274.6802978515625,311.4599914550781,5.800000190734863,99.99996185302734,1.4694894552230835,50.79999923706055
2016_5,2016-05,0.8999999761581421,278.11865234375,314.5799865722656,5.5,103.47125244140625,1.2680258750915527,51.29999923706055
2016_6,2016-06,0.8999999761581421,279.61529541015625,313.9800109863281,5.099999904632568,104.768310546875,1.2425447702407837,53.20000076293945
2016_7,2016-07,0.8999999761581421,283.9913330078125,314.3500061035156,5,101.52550506591797,1.240079402923584,52.599998474121094
2016_8,2016-08,0.8999999761581421,276.6767883300781,310.2099914550781,4.900000095367432,101.42777252197266,1.239771842956543,49.400001525878906
2016_9,2016-09,0.8999999761581421,275.3121643066406,308.67999267578125,4.900000095367432,105.16497802734375,1.4165010452270508,51.5
2016_10,2016-10,0.8999999761581421,278.43280029296875,307,4.699999809265137,109.07966613769531,1.4600346088409424,51.900001525878906
2016_11,2016-11,0.8999999761581421,285.9709167480469,308.82000732421875,4.5,111.0201644897461,1.5586342811584473,53.20000076293945
2016_12,2016-12,0.8999999761581421,296.1585998535156,312.239990234375,4.400000095367432,169.8654022216797,1.7343904972076416,54.70000076293945
2017_1,2017-01,0.8999999761581421,291.1155090332031,308.989990234375,4.300000190734863,95.19451141357422,1.555939793586731,56
2017_2,2017-02,0.8999999761581421,289.86187744140625,308.5,4.400000095367432,98.26531219482422,1.802024245262146,57.70000076293945
2017_3,2017-03,0.8999999761581421,289.8549499511719,309.7099914550781,4.5,107.1824951171875,1.9002960920333862,57.20000076293945
2017_4,2017-04,0.8999999761581421,290.5623474121094,311.57000732421875,4.599999904632568,108.29622650146484,1.8654884099960327,54.79999923706055
2017_5,2017-05,0.8999999761581421,280.13201904296875,309.7699890136719,4.400000095367432,109.97802734375,2.1360175609588623,54.900001525878906
2017_6,2017-06,0.8999999761581421,274.5391540527344,308.2799987792969,4.300000190734863,112.01640319824219,2.3809523582458496,57.79999923706055
2017_7,2017-07,0.8999999761581421,266.4494934082031,306.7099914550781,4.199999809265137,109.29351806640625,2.572268486022949,56.29999923706055
2017_8,2017-08,0.8999999761581421,257.7877502441406,304.3699951171875,4.199999809265137,114.2354736328125,2.7675728797912598,58.79999923706055
2017_9,2017-09,0.8999999761581421,258.8082275390625,308.3699951171875,4.099999904632568,118.2136001586914,2.8914482593536377,60.79999923706055
2017_10,2017-10,0.8999999761581421,263.652587890625,309.95001220703125,4,113.70713806152344,2.682926893234253,58.70000076293945
2017_11,2017-11,0.8999999761581421,265.70965576171875,311.8900146484375,3.799999952316284,110.27459716796875,2.6309378147125244,58.20000076293945
2017_12,2017-12,0.8999999761581421,264.5826416015625,313.1600036621094,3.799999952316284,113.73529052734375,2.654651641845703,59.70000076293945
2018_1,2018-01,0.8999999761581421,253.5,309.2699890136719,3.799999952316284,121.828125,2.5291829109191895,59.099998474121094
2018_2,2018-02,0.8999999761581421,252.46194458007812,311.739990234375,3.799999952316284,119.62779998779297,2.424830198287964,60.70000076293945
2018_3,2018-03,0.8999999761581421,253.0723114013672,312.19000244140625,3.9000000953674316,115.4482421875,2.397675037384033,59.29999923706055
2018_4,2018-04,0.8999999761581421,253.92636108398438,311.7200012207031,3.799999952316284,114.44096374511719,2.457831382751465,57.900001525878906
2018_5,2018-05,0.8999999761581421,268.3118896484375,316.92999267578125,3.700000047683716,116.67666625976562,2.379807710647583,58.70000076293945
2018_6,2018-06,0.8999999761581421,276.3315734863281,322.70001220703125,3.5999999046325684,121.99651336669922,2.4214816093444824,60
2018_7,2018-07,0.8999999761581421,277.7682800292969,324.6000061035156,3.5999999046325684,114.9277572631836,2.4599952697753906,58.400001525878906
2018_8,2018-08,0.8999999761581421,279.6952209472656,323.0199890136719,3.700000047683716,103.315673828125,2.2640609741210938,60.79999923706055
2018_9,2018-09,0.8999999761581421,278.6002197265625,324.82000732421875,3.799999952316284,101.24857330322266,2.3577041625976562,59.5
2018_10,2018-10,0.8999999761581421,281.9923400878906,323.8399963378906,3.700000047683716,105.96333312988281,2.589073657989502,57.5
2018_11,2018-11,0.8999999761581421,283.56646728515625,322.3299865722656,3.5999999046325684,104.70076751708984,2.634702205657959,58.79999923706055
2018_12,2018-12,0.8999999761581421,283.503173828125,322.739990234375,3.5999999046325684,101.26646423339844,2.8232502937316895,54.29999923706055
