date_match,log_total,log_in_year,log_out_year,log_short_term,log_medium_term,log_long_term,total_resc,in_year_resc,out_year_resc,short_term_resc,medium_term_resc,long_term_resc,r3m,r6m,r1y,r3y,r5y,r10y,r15y
2009-06,-0.22223809287439358,-0.22904620659833105,-0.2683033631299597,-0.22904620659833105,-0.25709230976673514,-0.2830966772477318,0.8007246947928491,0.795291784928025,0.7646757714776204,0.795291784928025,0.7732968276209059,0.7534469431617847,9.25,9.25,9.28,9.75,9.76,9.74,9.64
2009-07,-0.3782832773544897,-0.3472409829331546,-0.43832107003376486,-0.3472409829331546,-0.39993762987591364,-0.46892278531007875,0.6850364178733539,0.7066350207580012,0.6451186213448598,0.7066350207580012,0.6703618552838986,0.625675892661228,8.18,8.25,8.05,8.51,8.53,8.53,8.21
2009-08,-0.4315233996408308,-0.4181758242608647,-0.4847862565895135,-0.4181758242608647,-0.4530322748699777,-0.5111985189192672,0.6495188638522408,0.6582464825483979,0.6158288120483972,0.6582464825483979,0.6356976162374088,0.5997763046180881,7.65,7.65,7.67,8.06,8.15,8.14,8.14
2009-09,-0.5420320236435124,-0.5353950253303148,-0.5925007944073896,-0.5353950253303148,-0.5785027204304591,-0.608263002064508,0.5815652964511996,0.5854379816293683,0.5529427580907892,0.5854379816293683,0.5607373188670167,0.544295488575886,6.78,6.82,6.75,7.18,7.41,7.63,7.65
2009-10,-0.5856487736037943,-0.6034944515672598,-0.6273139748504286,-0.6034944515672598,-0.5988759082212878,-0.6515842123349488,0.5567445434540912,0.5468971873345226,0.5340242789535075,0.5468971873345226,0.5494288976065204,0.521219400152903,6.35,6.35,6.45,7.2,7.23,7.38,7.39
2009-11,-0.6058416801668121,-0.6459035653823858,-0.6394939232796549,-0.6459035653823858,-0.641976913364476,-0.6459447244734761,0.5456149999974724,0.5241886893068429,0.527559341998456,0.5241886893068429,0.5262510423028702,0.5241671146208315,6.02,6.15,6.1,6.99,7.14,7.46,7.46
2009-12,-0.5570209679688032,-0.6475206355578867,-0.5737505035087369,-0.6475206355578867,-0.6121274953901252,-0.560910094726755,0.5729132511003993,0.5233417243964399,0.5634084060082463,0.5233417243964399,0.5421961214010543,0.5706894459785387,6.07,6.08,6.05,7.41,7.59,7.99,7.9
2010-01,-0.6063924055940682,-0.689304167954617,-0.625474958389957,-0.689304167954617,-0.6667233181807204,-0.6110305770330896,0.5453145986703987,0.5019252032233893,0.5350072619767386,0.5019252032233893,0.5133880339993211,0.5427911925923221,5.8,5.85,5.73,7.04,7.33,7.66,7.64
2010-02,-0.6440345399122713,-0.7266887609275662,-0.6630972721031598,-0.7266887609275662,-0.7076940321664351,-0.6466690710452039,0.5251693274516698,0.4835073507843282,0.5152529818162357,0.4835073507843282,0.49277922132717555,0.5237875734446131,5.57,5.65,5.57,6.71,7.02,7.51,7.49
2010-03,-0.7628000402530744,-0.8165108197811524,-0.7912859051898629,-0.8165108197811524,-0.8182562947438496,-0.7837622235154121,0.46635877378446206,0.4419710840343858,0.45326156897194597,0.4419710840343858,0.44120030745427147,0.45668462557923417,5.12,5.13,5.1,5.95,6.22,6.86,6.86
