date,r3m,r6m,r1y,r3y,r5y,r10y,r15y,total,in_year,out_year,short_term,medium_term,long_term
2017_3,.07,.07,.090000004,1.14,2.1500001,3.29,3.77,-3.5661781,-2.0187483,-2.9411263,-2.0187483,-2.0071273,-2.1583738
2017_4,.079999998,.079999998,.12,.98000002,2.05,3.24,3.73,-3.6105924,-2.0143199,-2.9965944,-2.0143199,-2.0375743,-2.2047105
2017_5,.07,.090000004,.12,.80000001,1.8200001,3.04,3.6500001,-3.7151487,-2.014328,-3.1206653,-2.014328,-2.0792272,-2.3302557
2017_6,.050000001,.090000004,.1,.74000001,1.76,3.0899999,3.6199999,-3.7329032,-2.0187647,-3.1387911,-2.0187647,-2.097497,-2.3386152
2017_7,.07,.11,.1,.83999997,1.83,3.0999999,3.6700001,-3.6945391,-2.009908,-3.098922,-2.009908,-2.0743566,-2.3062184
2017_8,.050000001,.11,.07,.68000001,1.64,2.95,3.5799999,-3.7901952,-2.0143447,-3.2095761,-2.0143447,-2.1179595,-2.4130621
2017_9,-.039999999,-.029999999,-.039999999,.50999999,1.21,2.5799999,3.21,-4.0466914,-2.0652511,-3.4820747,-2.0652511,-2.1814184,-2.7128611
2017_10,-.039999999,-.0099999998,0,.50999999,1.22,2.48,3.21,-4.0554762,-2.0608308,-3.4954951,-2.0608308,-2.1726475,-2.7373083
2017_11,-.0099999998,0,-.0099999998,.56999999,1.09,2.1300001,2.8199999,-4.1979628,-2.0519657,-3.6713133,-2.0519657,-2.1609559,-2.9746115
2017_12,-.0099999998,.0099999998,.02,.50999999,1.09,2.02,2.72,-4.2389636,-2.0497556,-3.7216849,-2.0497556,-2.1682622,-3.0338168
2018_01,-.029999999,.0099999998,0,.56,1.24,2.3099999,2.73,-4.164505,-2.0541923,-3.630343,-2.0541923,-2.1610773,-2.9222207
2018_02,-.02,-.02,-.02,.87,1.4400001,2.5799999,2.98,-4.0078306,-2.0586042,-3.4412777,-2.0586042,-2.0937269,-2.7334123
2018_03,0,-.0099999998,.029999999,.81,1.24,2.3900001,2.8499999,-4.0916348,-2.0519576,-3.5453167,-2.0519576,-2.0966475,-2.8649821
2018_04,.0099999998,.029999999,.039999999,.73000002,1.27,2.52,3.5599999,-3.9314122,-2.0408988,-3.3604994,-2.0408988,-2.1129675,-2.6111677
2018_05,.15000001,.13,.23999999,1.16,1.65,3.1500001,3.9200001,-3.5946565,-1.987741,-2.9944625,-1.987741,-1.9696087,-2.2558606
2018_06,.13,.37,.62,1.85,2.28,3.5899999,4.1500001,-3.229419,-1.9391353,-2.5931294,-1.9391353,-1.7266155,-1.9373467
2018_07,.11,.31999999,.47,1.54,2.6500001,3.23,3.73,-3.3852918,-1.9546225,-2.7689893,-1.9546225,-1.8312421,-2.080997
2018_08,.13,.33000001,.52999997,1.65,2.8399999,3.46,3.8800001,-3.2658377,-1.9479758,-2.6313121,-1.9479758,-1.7926311,-1.9349128
2018_09,.12,.13,.40000001,1.75,2.97,3.54,3.95,-3.248018,-1.994396,-2.5803673,-1.994396,-1.7979957,-1.8652925
2018_10,-.0099999998,.0099999998,.28,1.6,3.0599999,3.6600001,4.1900001,-3.2310462,-2.0497556,-2.5240979,-2.0497556,-1.8590192,-1.7424812
2018_11,0,.0099999998,.27000001,1.26,2.6099999,3.1400001,3.8099999,-3.4992559,-2.0475373,-2.8443625,-2.0475373,-1.9398899,-2.0893223
2018_12,0,.12,.38999999,1.21,2.46,3.01,3.78,-3.5275497,-2.0232263,-2.8936887,-2.0232263,-1.9251477,-2.1644325
